,GSM927098,GSM1435226,GSM927136,GSM1258213,GSM1194476,GSM1429553,GSM1194434,GSM1429602,GSM1194449,GSM2062403,GSM1429587,GSM1194465,GSM927099,GSM1258209,GSM927152,GSM1194530,GSM1194498,GSM1194473,GSM1194527,GSM2062408,GSM1194404,GSM1258222,GSM1194526,GSM1258223,GSM1429595,GSM1194384,GSM2062382,GSM927142,GSM1194423,GSM1194403,GSM1194446,GSM927114,GSM2062395,GSM1194439,GSM927159,GSM1194455,GSM1194528,GSM1194483,GSM1435238,GSM1194373,GSM1194380,GSM1194376,GSM1258184,GSM2062373,GSM927127,GSM1194520,GSM927109,GSM1429607,GSM1194445,GSM1194508,GSM1429558,GSM1429614,GSM1194433,GSM1258203,GSM1429551,GSM1429603,GSM1194487,GSM927151,GSM1194361,GSM1194407,GSM927096,GSM1194356,GSM2062378,GSM1194522,GSM1429533,GSM1194360,GSM1194374,GSM1194416,GSM927121,GSM1194515,GSM1258214,GSM1429532,GSM1194383,GSM1429562,GSM1194358,GSM1194363,GSM1194524,GSM1194461,GSM1258198,GSM1194475,GSM1194484,GSM1429592,GSM927162,GSM1194395,GSM927126,GSM927100,GSM1194469,GSM1435245,GSM927108,GSM1429589,GSM1429609,GSM2062405,GSM1194388,GSM1429560,GSM2062377,GSM1429544,GSM1194381,GSM1429605,GSM1194518,GSM1429600,GSM1258219,GSM2062411,GSM1429555,GSM1194481,GSM927097,GSM1194479,GSM927158,GSM1194432,GSM1194514,GSM2062392,GSM1435236,GSM1258205,GSM2062374,GSM1194389,GSM2062398,GSM1429601,GSM1258183,GSM1194452,GSM1258220,GSM2062365,GSM2062410,GSM1194362,GSM2062400,GSM2062391,GSM1194359,GSM1194412,GSM927146,GSM2062397,GSM927104,GSM2062407,GSM927113,GSM927132,GSM1435227,GSM1429539,GSM1194430,GSM1429615,GSM1194370,GSM1194398,GSM1194492,GSM2062372,GSM1194443,GSM1435231,GSM927161,GSM927156,GSM1194494,GSM1194429,GSM927123,GSM1258200,GSM1429543,GSM1194427,GSM1429550,GSM927117,GSM2062401,GSM1194405,GSM927154,GSM1258204,GSM1194493,GSM1194428,GSM927116,GSM1429540,GSM927135,GSM1429556,GSM2062385,GSM1194517,GSM1194523,GSM1194486,GSM1194372,GSM927143,GSM927138,GSM1194441,GSM1194505,GSM2062394,GSM1194414,GSM1429593,GSM1194459,GSM1258192,GSM1258227,GSM1429622,GSM1429535,GSM1258207,GSM927141,GSM1429608,GSM1429557,GSM1429598,GSM927140,GSM2062367,GSM1258228,GSM1194431,GSM1435244,GSM1435243,GSM1194357,GSM927102,GSM2062386,GSM1258224,GSM1429591,GSM2062379,GSM1429617,GSM1429563,GSM1429597,GSM1429621,GSM2062375,GSM927155,GSM927134,GSM1194470,GSM1429537,GSM2062404,GSM1429606,GSM927148,GSM1194509,GSM1194435,GSM1194531,GSM1194490,GSM1429547,GSM1194448,GSM2062388,GSM1194454,GSM1435230,GSM1258197,GSM1258226,GSM1429536,GSM1194501,GSM1435232,GSM1435242,GSM2062396,GSM1429590,GSM1258206,GSM1429530,GSM1194496,GSM1194456,GSM1194394,GSM1258216,GSM1194467,GSM1194390,GSM1429619,GSM927160,GSM1194447,GSM927107,GSM2062381,GSM1194392,GSM1435224,GSM927118,GSM927093,GSM927128,GSM1194421,GSM1258202,GSM1429549,GSM1194482,GSM1258221,GSM1194450,GSM1194401,GSM1429616,GSM1435241,GSM1194410,GSM1194377,GSM927125,GSM927149,GSM1194364,GSM1194406,GSM2062368,GSM927112,GSM1194506,GSM1194378,GSM1435233,GSM1258208,GSM1194418,GSM1435235,GSM1194436,GSM1429611,GSM1194354,GSM1194385,GSM1194507,GSM1258187,GSM1258217,GSM1194513,GSM1194471,GSM1258193,GSM927139,GSM1258199,GSM927110,GSM1194420,GSM1258225,GSM1194502,GSM1194387,GSM2062402,GSM1194425,GSM1194438,GSM1435228,GSM2062393,GSM2062364,GSM1194382,GSM1429538,GSM927145,GSM927095,GSM1194474,GSM1194489,GSM1194367,GSM1429620,GSM1194386,GSM1435234,GSM927119,GSM1258189,GSM1429559,GSM1194472,GSM1194426,GSM1429588,GSM1194379,GSM1429541,GSM1194511,GSM1194408,GSM1429596,GSM1194391,GSM927150,GSM1429552,GSM1435225,GSM1258211,GSM1429618,GSM1194453,GSM1194480,GSM1429531,GSM1194369,GSM1194419,GSM1194512,GSM1194463,GSM1258230,GSM1194365,GSM1258191,GSM1194497,GSM1429554,GSM1435229,GSM1194440,GSM1258196,GSM1194397,GSM1194532,GSM2062371,GSM927120,GSM1258218,GSM1194355,GSM1194415,GSM927144,GSM1194424,GSM1429542,GSM1429545,GSM927133,GSM927130,GSM927137,GSM1194521,GSM1194437,GSM1435239,GSM1258229,GSM1194529,GSM1194402,GSM1194451,GSM1194458,GSM1194519,GSM1258215,GSM927131,GSM1194485,GSM1194444,GSM1429604,GSM927106,GSM1194525,GSM2062406,GSM927115,GSM1194375,GSM2062387,GSM927157,GSM1194499,GSM1429534,GSM927122,GSM1194504,GSM1429610,GSM1194468,GSM1429561,GSM1194417,GSM1258210,GSM1194366,GSM2062399,GSM2062369,GSM1194488,GSM2062384,GSM2062389,GSM1194396,GSM1194442,GSM1258212,GSM927129,GSM2062376,GSM1258190,GSM1258194,GSM927094,GSM1258188,GSM1194464,GSM1194466,GSM1194491,GSM2062390,GSM927124,GSM1258201,GSM1429599,GSM927105,GSM927153,GSM2062383,GSM2062370,GSM1194500,GSM1429529,GSM1194516,GSM927147,GSM1194495,GSM1435237,GSM1194393,GSM2062380,GSM1194399,GSM1258186,GSM1194422,GSM1429612,GSM1258195,GSM1194368,GSM1258185,GSM1429613,GSM1194400,GSM927101,GSM2062366,GSM1194411,GSM1194510,GSM927103,GSM1429594,GSM1429546,GSM2062409,GSM1194457,GSM1194371,GSM1194503,GSM1194413,GSM1429548,GSM1435240,GSM927111
age,91.0,58.0,63.0,26.0,72.0,3.9166666666666665,57.0,3.5,75.0,71.0,3.25,65.0,39.0,49.0,51.0,55.0,72.0,53.0,65.0,53.0,78.0,43.0,51.0,49.0,0.8333333333333334,83.0,67.0,93.0,55.0,54.0,71.0,58.0,71.0,64.0,52.0,70.0,71.0,71.0,48.0,72.0,65.0,72.0,49.0,63.0,55.0,72.0,55.0,2.4166666666666665,68.0,51.0,2.5833333333333335,3.25,72.0,55.0,1.3333333333333333,3.5,71.0,44.0,74.0,78.0,42.0,58.0,48.0,64.0,0.8333333333333334,78.0,71.0,53.0,57.0,65.0,18.0,1.0,78.0,1.6666666666666667,58.0,34.0,77.0,56.0,43.0,53.0,88.0,3.4166666666666665,66.0,70.0,46.0,81.0,77.0,83.0,86.0,4.833333333333333,5.166666666666667,76.0,59.0,12.0,77.0,0.8333333333333334,71.0,1.9166666666666667,67.0,3.6666666666666665,51.0,76.0,3.25,70.0,42.0,70.0,36.0,63.0,79.0,57.0,65.0,50.0,33.0,72.0,67.0,5.916666666666667,58.0,63.0,48.0,90.0,70.0,78.0,85.0,59.0,49.0,76.0,53.0,75.0,65.0,80.0,45.0,89.0,60.0,2.4166666666666665,63.0,4.083333333333333,74.0,78.0,64.0,18.0,79.0,60.0,46.0,46.0,70.0,84.0,40.0,38.0,5.916666666666667,64.0,2.4166666666666665,59.0,49.0,68.0,57.0,50.0,69.0,79.0,45.0,0.8333333333333334,37.0,4.083333333333333,63.0,62.0,70.0,68.0,52.0,52.0,45.0,55.0,74.0,60.0,76.0,1.75,80.0,46.0,55.0,4.083333333333333,1.75,58.0,43.0,1.3333333333333333,3.5,0.8333333333333334,73.0,59.0,51.0,84.0,79.0,61.0,63.0,30.0,79.0,39.0,0.8333333333333334,80.0,2.5833333333333335,4.083333333333333,2.4166666666666665,1.6666666666666667,59.0,67.0,37.0,65.0,0.8333333333333334,63.0,3.1666666666666665,37.0,77.0,69.0,75.0,70.0,4.5,59.0,63.0,68.0,77.0,36.0,49.0,3.6666666666666665,69.0,56.0,60.0,76.0,1.0,60.0,2.75,46.0,70.0,61.0,46.0,70.0,47.0,12.0,36.0,71.0,34.0,53.0,64.0,72.0,81.0,51.0,55.0,81.0,48.0,3.1666666666666665,65.0,36.0,90.0,60.0,3.5,77.0,57.0,66.0,44.0,47.0,61.0,51.0,85.0,48.0,70.0,71.0,69.0,49.0,60.0,60.0,60.0,1.6666666666666667,59.0,62.0,61.0,38.0,29.0,69.0,64.0,26.0,73.0,50.0,74.0,76.0,43.0,56.0,64.0,67.0,47.0,87.0,75.0,70.0,48.0,72.0,3.9166666666666665,45.0,39.0,76.0,52.0,57.0,1.6666666666666667,78.0,75.0,76.0,27.0,1.0,68.0,65.0,2.75,73.0,0.9166666666666666,64.0,64.0,3.9166666666666665,61.0,36.0,5.166666666666667,33.0,39.0,1.0,76.0,68.0,4.833333333333333,67.0,72.0,65.0,75.0,60.0,64.0,30.0,79.0,2.3333333333333335,79.0,87.0,49.0,59.0,75.0,71.0,84.0,35.0,77.0,68.0,52.0,62.0,3.6666666666666665,3.5,65.0,75.0,45.0,70.0,40.0,72.0,49.0,65.0,44.0,76.0,63.0,77.0,31.0,34.0,63.0,69.0,4.5,59.0,75.0,48.0,46.0,78.0,59.0,38.0,69.0,3.4166666666666665,50.0,83.0,3.9166666666666665,78.0,1.6666666666666667,58.0,41.0,66.0,59.0,49.0,70.0,91.0,47.0,66.0,49.0,40.0,45.0,76.0,17.0,35.0,39.0,41.0,72.0,78.0,67.0,77.0,43.0,44.0,0.9166666666666666,34.0,51.0,48.0,67.0,56.0,3.25,81.0,61.0,69.0,60.0,80.0,53.0,72.0,40.0,72.0,2.3333333333333335,50.0,51.0,48.0,1.75,70.0,65.0,67.0,68.0,69.0,30.0,3.6666666666666665,3.5,57.0,76.0,64.0,69.0,68.0,1.9166666666666667,62.0,62.0
cancer,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1
dataset,E-GEOD-39004,E-GEOD-49149,E-GEOD-39004,E-GEOD-52068,E-GEOD-49149,GSE59157,E-GEOD-49149,GSE59157,E-GEOD-49149,E-GEOD-77955,GSE59157,E-GEOD-49149,E-GEOD-39004,E-GEOD-52068,E-GEOD-39004,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-77955,E-GEOD-49149,E-GEOD-52068,E-GEOD-49149,E-GEOD-52068,GSE59157,E-GEOD-49149,E-GEOD-77955,E-GEOD-39004,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-39004,E-GEOD-77955,E-GEOD-49149,E-GEOD-39004,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-52068,E-GEOD-77955,E-GEOD-39004,E-GEOD-49149,E-GEOD-39004,GSE59157,E-GEOD-49149,E-GEOD-49149,GSE59157,GSE59157,E-GEOD-49149,E-GEOD-52068,GSE59157,GSE59157,E-GEOD-49149,E-GEOD-39004,E-GEOD-49149,E-GEOD-49149,E-GEOD-39004,E-GEOD-49149,E-GEOD-77955,E-GEOD-49149,GSE59157,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-39004,E-GEOD-49149,E-GEOD-52068,GSE59157,E-GEOD-49149,GSE59157,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-52068,E-GEOD-49149,E-GEOD-49149,GSE59157,E-GEOD-39004,E-GEOD-49149,E-GEOD-39004,E-GEOD-39004,E-GEOD-49149,E-GEOD-49149,E-GEOD-39004,GSE59157,GSE59157,E-GEOD-77955,E-GEOD-49149,GSE59157,E-GEOD-77955,GSE59157,E-GEOD-49149,GSE59157,E-GEOD-49149,GSE59157,E-GEOD-52068,E-GEOD-77955,GSE59157,E-GEOD-49149,E-GEOD-39004,E-GEOD-49149,E-GEOD-39004,E-GEOD-49149,E-GEOD-49149,E-GEOD-77955,E-GEOD-49149,E-GEOD-52068,E-GEOD-77955,E-GEOD-49149,E-GEOD-77955,GSE59157,E-GEOD-52068,E-GEOD-49149,E-GEOD-52068,E-GEOD-77955,E-GEOD-77955,E-GEOD-49149,E-GEOD-77955,E-GEOD-77955,E-GEOD-49149,E-GEOD-49149,E-GEOD-39004,E-GEOD-77955,E-GEOD-39004,E-GEOD-77955,E-GEOD-39004,E-GEOD-39004,E-GEOD-49149,GSE59157,E-GEOD-49149,GSE59157,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-77955,E-GEOD-49149,E-GEOD-49149,E-GEOD-39004,E-GEOD-39004,E-GEOD-49149,E-GEOD-49149,E-GEOD-39004,E-GEOD-52068,GSE59157,E-GEOD-49149,GSE59157,E-GEOD-39004,E-GEOD-77955,E-GEOD-49149,E-GEOD-39004,E-GEOD-52068,E-GEOD-49149,E-GEOD-49149,E-GEOD-39004,GSE59157,E-GEOD-39004,GSE59157,E-GEOD-77955,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-39004,E-GEOD-39004,E-GEOD-49149,E-GEOD-49149,E-GEOD-77955,E-GEOD-49149,GSE59157,E-GEOD-49149,E-GEOD-52068,E-GEOD-52068,GSE59157,GSE59157,E-GEOD-52068,E-GEOD-39004,GSE59157,GSE59157,GSE59157,E-GEOD-39004,E-GEOD-77955,E-GEOD-52068,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-39004,E-GEOD-77955,E-GEOD-52068,GSE59157,E-GEOD-77955,GSE59157,GSE59157,GSE59157,GSE59157,E-GEOD-77955,E-GEOD-39004,E-GEOD-39004,E-GEOD-49149,GSE59157,E-GEOD-77955,GSE59157,E-GEOD-39004,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,GSE59157,E-GEOD-49149,E-GEOD-77955,E-GEOD-49149,E-GEOD-49149,E-GEOD-52068,E-GEOD-52068,GSE59157,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-77955,GSE59157,E-GEOD-52068,GSE59157,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-52068,E-GEOD-49149,E-GEOD-49149,GSE59157,E-GEOD-39004,E-GEOD-49149,E-GEOD-39004,E-GEOD-77955,E-GEOD-49149,E-GEOD-49149,E-GEOD-39004,E-GEOD-39004,E-GEOD-39004,E-GEOD-49149,E-GEOD-52068,GSE59157,E-GEOD-49149,E-GEOD-52068,E-GEOD-49149,E-GEOD-49149,GSE59157,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-39004,E-GEOD-39004,E-GEOD-49149,E-GEOD-49149,E-GEOD-77955,E-GEOD-39004,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-52068,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,GSE59157,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-52068,E-GEOD-52068,E-GEOD-49149,E-GEOD-49149,E-GEOD-52068,E-GEOD-39004,E-GEOD-52068,E-GEOD-39004,E-GEOD-49149,E-GEOD-52068,E-GEOD-49149,E-GEOD-49149,E-GEOD-77955,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-77955,E-GEOD-77955,E-GEOD-49149,GSE59157,E-GEOD-39004,E-GEOD-39004,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,GSE59157,E-GEOD-49149,E-GEOD-49149,E-GEOD-39004,E-GEOD-52068,GSE59157,E-GEOD-49149,E-GEOD-49149,GSE59157,E-GEOD-49149,GSE59157,E-GEOD-49149,E-GEOD-49149,GSE59157,E-GEOD-49149,E-GEOD-39004,GSE59157,E-GEOD-49149,E-GEOD-52068,GSE59157,E-GEOD-49149,E-GEOD-49149,GSE59157,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-52068,E-GEOD-49149,E-GEOD-52068,E-GEOD-49149,GSE59157,E-GEOD-49149,E-GEOD-49149,E-GEOD-52068,E-GEOD-49149,E-GEOD-49149,E-GEOD-77955,E-GEOD-39004,E-GEOD-52068,E-GEOD-49149,E-GEOD-49149,E-GEOD-39004,E-GEOD-49149,GSE59157,GSE59157,E-GEOD-39004,E-GEOD-39004,E-GEOD-39004,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-52068,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-52068,E-GEOD-39004,E-GEOD-49149,E-GEOD-49149,GSE59157,E-GEOD-39004,E-GEOD-49149,E-GEOD-77955,E-GEOD-39004,E-GEOD-49149,E-GEOD-77955,E-GEOD-39004,E-GEOD-49149,GSE59157,E-GEOD-39004,E-GEOD-49149,GSE59157,E-GEOD-49149,GSE59157,E-GEOD-49149,E-GEOD-52068,E-GEOD-49149,E-GEOD-77955,E-GEOD-77955,E-GEOD-49149,E-GEOD-77955,E-GEOD-77955,E-GEOD-49149,E-GEOD-49149,E-GEOD-52068,E-GEOD-39004,E-GEOD-77955,E-GEOD-52068,E-GEOD-52068,E-GEOD-39004,E-GEOD-52068,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-77955,E-GEOD-39004,E-GEOD-52068,GSE59157,E-GEOD-39004,E-GEOD-39004,E-GEOD-77955,E-GEOD-77955,E-GEOD-49149,GSE59157,E-GEOD-49149,E-GEOD-39004,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-77955,E-GEOD-49149,E-GEOD-52068,E-GEOD-49149,GSE59157,E-GEOD-52068,E-GEOD-49149,E-GEOD-52068,GSE59157,E-GEOD-49149,E-GEOD-39004,E-GEOD-77955,E-GEOD-49149,E-GEOD-49149,E-GEOD-39004,GSE59157,GSE59157,E-GEOD-77955,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,E-GEOD-49149,GSE59157,E-GEOD-49149,E-GEOD-39004
tissue_type,breast,pancreas,breast,nasopharyngeal,pancreas,kidney,pancreas,kidney,pancreas,colon,kidney,pancreas,breast,nasopharyngeal,breast,pancreas,pancreas,pancreas,pancreas,colon,pancreas,nasopharyngeal,pancreas,nasopharyngeal,kidney,pancreas,colon,breast,pancreas,pancreas,pancreas,breast,colon,pancreas,breast,pancreas,pancreas,pancreas,pancreas,pancreas,pancreas,pancreas,nasopharyngeal,colon,breast,pancreas,breast,kidney,pancreas,pancreas,kidney,kidney,pancreas,nasopharyngeal,kidney,kidney,pancreas,breast,pancreas,pancreas,breast,pancreas,colon,pancreas,kidney,pancreas,pancreas,pancreas,breast,pancreas,nasopharyngeal,kidney,pancreas,kidney,pancreas,pancreas,pancreas,pancreas,nasopharyngeal,pancreas,pancreas,kidney,breast,pancreas,breast,breast,pancreas,pancreas,breast,kidney,kidney,colon,pancreas,kidney,colon,kidney,pancreas,kidney,pancreas,kidney,nasopharyngeal,liver,kidney,pancreas,breast,pancreas,breast,pancreas,pancreas,colon,pancreas,nasopharyngeal,colon,pancreas,colon,kidney,nasopharyngeal,pancreas,nasopharyngeal,colon,liver,pancreas,colon,colon,pancreas,pancreas,breast,colon,breast,colon,breast,breast,pancreas,kidney,pancreas,kidney,pancreas,pancreas,pancreas,colon,pancreas,pancreas,breast,breast,pancreas,pancreas,breast,nasopharyngeal,kidney,pancreas,kidney,breast,colon,pancreas,breast,nasopharyngeal,pancreas,pancreas,breast,kidney,breast,kidney,colon,pancreas,pancreas,pancreas,pancreas,breast,breast,pancreas,pancreas,colon,pancreas,kidney,pancreas,nasopharyngeal,nasopharyngeal,kidney,kidney,nasopharyngeal,breast,kidney,kidney,kidney,breast,colon,nasopharyngeal,pancreas,pancreas,pancreas,pancreas,breast,colon,nasopharyngeal,kidney,colon,kidney,kidney,kidney,kidney,colon,breast,breast,pancreas,kidney,colon,kidney,breast,pancreas,pancreas,pancreas,pancreas,kidney,pancreas,colon,pancreas,pancreas,nasopharyngeal,nasopharyngeal,kidney,pancreas,pancreas,pancreas,colon,kidney,nasopharyngeal,kidney,pancreas,pancreas,pancreas,nasopharyngeal,pancreas,pancreas,kidney,breast,pancreas,breast,colon,pancreas,pancreas,breast,breast,breast,pancreas,nasopharyngeal,kidney,pancreas,nasopharyngeal,pancreas,pancreas,kidney,pancreas,pancreas,pancreas,breast,breast,pancreas,pancreas,colon,breast,pancreas,pancreas,pancreas,nasopharyngeal,pancreas,pancreas,pancreas,kidney,pancreas,pancreas,pancreas,nasopharyngeal,nasopharyngeal,pancreas,pancreas,nasopharyngeal,breast,nasopharyngeal,breast,pancreas,nasopharyngeal,pancreas,pancreas,colon,pancreas,pancreas,pancreas,colon,colon,pancreas,kidney,breast,breast,pancreas,pancreas,pancreas,kidney,pancreas,pancreas,breast,nasopharyngeal,kidney,pancreas,pancreas,kidney,pancreas,kidney,pancreas,pancreas,kidney,pancreas,breast,kidney,pancreas,nasopharyngeal,kidney,pancreas,pancreas,kidney,pancreas,pancreas,pancreas,pancreas,nasopharyngeal,pancreas,nasopharyngeal,pancreas,kidney,pancreas,pancreas,nasopharyngeal,pancreas,pancreas,colon,breast,nasopharyngeal,pancreas,pancreas,breast,pancreas,kidney,kidney,breast,breast,breast,pancreas,pancreas,pancreas,nasopharyngeal,pancreas,pancreas,pancreas,pancreas,pancreas,nasopharyngeal,breast,pancreas,pancreas,kidney,breast,pancreas,colon,breast,pancreas,colon,breast,pancreas,kidney,breast,pancreas,kidney,pancreas,kidney,pancreas,nasopharyngeal,pancreas,colon,colon,pancreas,colon,colon,pancreas,pancreas,nasopharyngeal,breast,colon,nasopharyngeal,nasopharyngeal,breast,nasopharyngeal,pancreas,pancreas,pancreas,colon,breast,nasopharyngeal,kidney,breast,breast,colon,colon,pancreas,kidney,pancreas,breast,pancreas,pancreas,pancreas,colon,pancreas,nasopharyngeal,pancreas,kidney,nasopharyngeal,pancreas,nasopharyngeal,kidney,pancreas,breast,colon,pancreas,pancreas,breast,kidney,kidney,liver,pancreas,pancreas,pancreas,pancreas,kidney,pancreas,breast
gender,F,F,F,M,F,M,M,M,F,M,F,F,F,F,F,F,F,M,M,M,M,M,F,M,M,M,M,F,M,M,M,F,M,M,F,F,F,M,M,F,F,M,F,M,F,M,F,F,M,M,F,M,F,F,F,M,M,F,F,M,F,F,F,M,M,F,M,F,F,M,M,F,M,F,F,M,F,F,M,M,M,M,F,F,F,F,F,M,F,F,M,M,F,F,M,F,M,F,M,M,F,M,M,M,F,F,F,F,F,M,F,M,F,F,M,F,M,M,F,M,M,F,M,F,F,F,F,F,F,M,F,F,M,F,F,M,M,F,M,M,F,M,F,F,M,F,F,F,F,M,F,F,F,M,F,F,M,F,F,M,F,M,M,F,F,F,M,F,F,F,M,M,M,M,M,M,F,F,M,M,F,F,F,M,F,F,F,F,F,F,M,F,F,F,M,M,F,F,F,F,F,F,F,F,M,M,F,F,M,F,F,F,F,M,M,F,F,M,F,M,M,M,M,M,F,M,F,M,F,F,M,M,M,F,F,M,F,F,M,F,F,F,F,M,F,F,F,M,F,M,F,M,M,M,F,F,F,M,M,F,M,M,M,F,F,F,M,M,M,M,M,M,M,M,M,M,F,M,F,F,M,M,M,M,F,F,M,M,M,F,M,F,F,M,M,M,F,M,M,F,M,F,M,M,F,F,F,F,M,M,M,F,M,M,M,F,M,M,F,M,M,F,F,M,M,F,M,F,F,F,F,M,F,M,F,M,F,F,F,M,M,M,F,F,F,M,F,M,M,M,M,M,F,M,F,F,F,M,F,F,F,F,F,M,F,F,M,M,F,F,M,F,F,M,M,F,F,F,F,M,F,M,M,M,F,M,M,M,F,M,F,F,F,F,F,M,F,F,F,F,M,M,F,M,F,M,M,F,M,M,M,M,F,F,M,F,F,M,F,M,M,F,F,M,M,M,M,M,F,F,F,M,F
